person,state,state_num,average,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ZT,Alabama,AL,0.686,0.628,0.628,0.628,0.628,0.685,0.685,0.685,0.685,0.733,0.733,0.733,0.733,0.733
ZT,Alaska,AK,0.560,0.550,0.550,0.625,0.625,0.575,0.575,0.525,0.525,0.575,0.575,0.525,0.525,0.525
ZT,Arizona,AZ,0.580,0.666,0.666,0.600,0.600,0.633,0.633,0.583,0.583,0.516,0.516,0.516,0.516,0.516
ZT,Arkansas,AR,0.655,0.450,0.450,0.510,0.510,0.640,0.640,0.730,0.730,0.740,0.740,0.780,0.780,0.820
ZT,California,CA,0.294,0.350,0.350,0.300,0.300,0.350,0.350,0.312,0.312,0.250,0.250,0.237,0.237,0.225
ZT,Colorado,CO,0.420,0.507,0.507,0.430,0.430,0.476,0.476,0.430,0.430,0.369,0.369,0.369,0.369,0.292
ZT,Connecticut,CT,0.389,0.357,0.357,0.351,0.351,0.423,0.423,0.476,0.476,0.391,0.391,0.357,0.357,0.351
ZT,Delaware,DE,0.369,0.365,0.365,0.341,0.341,0.390,0.390,0.390,0.390,0.365,0.365,0.365,0.365,0.365
MG,Florida,FL,0.675,0.675,0.617,0.617,0.689,0.689,0.658,0.658,0.608,0.608,0.650,0.650,0.708,0.708
MG,Georgia,GA,0.63,0.630,0.660,0.660,0.670,0.670,0.650,0.650,0.589,0.589,0.575,0.575,0.561,5.610
MG,Hawaii,HI,0.157,0.157,0.137,0.137,0.157,0.157,0.118,0.118,0.098,0.098,0.078,0.078,0.118,0.118
MG,Idaho,ID,0.814,0.814,0.814,0.814,0.800,0.800,0.840,0.840,0.800,0.800,0.829,0.829,0.840,0.840
MG,Illinois,IL,0.401,0.458,0.458,0.398,0.398,0.398,0.398,0.432,0.432,0.373,0.373,0.381,0.381,0.331
MG,Indiana,IN,0.651,0.400,0.400,0.690,0.690,0.710,0.710,0.700,0.700,0.670,0.670,0.710,0.710,0.700
MG,Iowa,IA,0.572,0.580,0.580,0.530,0.530,0.570,0.570,0.590,0.590,0.540,0.540,0.590,0.590,0.640
MG,Kansas,KS,0.713,0.736,0.736,0.736,0.736,0.776,0.776,0.680,0.680,0.680,0.680,0.688,0.688,0.680
NG,Kentucky,KY,0.574,0.420,0.420,0.450,0.450,0.460,0.460,0.640,0.640,0.610,0.610,0.750,0.750,0.800
NG,Louisiana,LA,0.627,0.476,0.552,0.552,0.552,0.552,0.581,0.581,0.581,0.581,0.648,0.648,0.648,0.648
NG,Maine,ME,0.445,0.517,0.517,0.404,0.404,0.450,0.450,0.477,0.477,0.377,0.377,0.444,0.444,0.444
NG,Maryland,MD,0.316,0.305,0.305,0.305,0.305,0.355,0.355,0.355,0.355,0.298,0.298,0.298,0.298,0.277
NG,Massachusetts,MA,0.198,0.200,0.200,0.181,0.181,0.219,0.219,0.219,0.219,0.200,0.200,0.188,0.188,0.156
NG,Michigan,MI,0.547,0.573,0.573,0.536,0.536,0.573,0.573,0.573,0.573,0.527,0.527,0.527,0.527,0.491
NG,Minnesota,MN,0.502,0.537,0.537,0.455,0.455,0.537,0.537,0.575,0.575,0.440,0.440,0.478,0.478,0.478
NG,Mississippi,MS,0.564,0.385,0.525,0.525,0.525,0.525,0.598,0.598,0.598,0.598,0.615,0.615,0.615,0.615
AJ,Missouri,MO,0.673,0.540,0.650,0.644,0.675,0.669,0.718,0.706,0.718,0.669,0.712,0.693,0.699,0.656
AJ,Montana,MT,0.612,0.500,0.680,0.680,0.630,0.610,0.590,0.590,0.590,0.590,0.580,0.580,0.670,0.670
AJ,Nebraska,NE,0.627,0.712,0.610,0.610,0.542,0.542,0.645,0.714,0.653,0.612,0.592,0.612,0.653,0.653
AJ,Nevada,NV,0.392,0.333,0.381,0.381,0.357,0.357,0.643,0.571,0.357,0.333,0.310,0.310,0.381,0.381
AJ,New Hampshire,NH,0.530,0.435,0.745,0.720,0.448,0.433,0.598,0.575,0.568,0.530,0.418,0.390,0.533,0.505
AJ,New Jersey,NJ,0.375,0.400,0.413,0.400,0.400,0.400,0.388,0.350,0.350,0.325,0.325,0.350,0.350,0.425
AJ,New Mexico,NM,0.429,0.357,0.471,0.471,0.457,0.471,0.529,0.529,0.457,0.443,0.343,0.343,0.357,0.343
AJ,New York,NY,0.290,0.280,0.333,0.327,0.293,0.267,0.293,0.280,0.287,0.273,0.287,0.280,0.287,0.280
LH,North Carolina,NC,0.557,0.433,0.433,0.558,0.558,0.642,0.642,0.617,0.617,0.542,0.542,0.542,0.542,0.575
LH,North dakota,ND,0.769,0.617,0.617,0.734,0.734,0.745,0.745,0.755,0.755,0.851,0.851,0.872,0.872,0.851
LH,Ohio,OH,0.595,0.465,0.465,0.596,0.596,0.606,0.606,0.647,0.647,0.616,0.616,0.616,0.616,0.647
LH,Oklahoma,OK,0.710,0.614,0.614,0.673,0.673,0.714,0.714,0.703,0.703,0.753,0.753,0.753,0.753,0.812
LH,Oregon,OR,0.412,0.400,0.400,0.500,0.500,0.433,0.433,0.417,0.417,0.367,0.367,0.367,0.367,0.383
LH,Pennsylvania,PA,0.529,0.483,0.483,0.542,0.542,0.468,0.468,0.586,0.586,0.542,0.542,0.537,0.537,0.557
LH,Rhode Island,RI,0.115,0.080,0.080,0.133,0.133,0.080,0.080,0.160,0.160,0.120,0.120,0.107,0.107,0.133
LH,South Carolina,SC,0.620,0.589,0.589,0.613,0.613,0.613,0.613,0.621,0.621,0.645,0.645,0.629,0.629,0.645
FIA,South Dakota,SD,0.828,0.762,0.762,0.771,0.771,0.810,0.810,0.848,0.848,0.848,0.848,0.895,0.895,0.895
FIA,Tennessee,TN,0.741,0.636,0.636,0.735,0.735,0.758,0.758,0.773,0.773,0.765,0.765,0.758,0.758,0.773
FIA,Texas,TX,0.612,0.652,0.652,0.630,0.630,0.652,0.652,0.635,0.635,0.564,0.564,0.558,0.558,0.580
FIA,Utah,UT,0.803,0.787,0.787,0.813,0.813,0.827,0.827,0.827,0.827,0.787,0.787,0.773,0.773,0.813
FIA,Vermont,VT,0.321,0.32,0.32,0.287,0.287,0.353,0.353,0.353,0.353,0.337,0.337,0.307,0.307,0.253
FIA,Virginia,VA,0.581,0.59,0.67,0.67,0.67,0.67,0.66,0.66,0.51,0.51,0.45,0.45,0.52,0.52
FIA,Washington,WA,0.441,0.418,0.418,0.439,0.439,0.48,0.48,0.49,0.49,0.418,0.418,0.418,0.418,0.408
FIA,West Virginia,WV,0.61,0.35,0.35,0.46,0.46,0.64,0.64,0.63,0.63,0.687,0.687,0.76,0.76,0.88
FIA,Wisconsin,WI,0.626,0.606,0.606,0.606,0.606,0.636,0.636,0.646,0.646,0.636,0.636,0.616,0.616,0.646
FIA,Wyoming,WY,0.858,0.85,0.85,0.867,0.867,0.85,0.85,0.867,0.867,0.833,0.833,0.85,0.85,0.919