Rk,Player,WS,ORtg,DRtg,VORP,PER,TRB%,USG%,TOV%,AST%,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
1,Trae Young,32.6,115,117,15.2,22.3,5.9,32.7,15.9,44.1,2018-19,2022-23,20-24,349,349,2,33.8,8.1,18.6,5.6,11.4,2.5,7.2,6.7,7.6,0.7,3.0,3.7,9.3,1.0,0.1,4.1,1.7,25.5,.438,.491,.353,.875,.581,.506,G,ATL,youngtr01
2,James Worthy,81.2,112,108,29.2,17.7,8.9,22.9,11.3,14.0,1982-83,1993-94,21-32,926,717,7,32.4,7.4,14.3,7.3,13.7,0.1,0.5,2.6,3.4,1.7,3.4,5.1,3.0,1.1,0.7,2.0,2.1,17.6,.521,.532,.241,.769,.559,.525,F,LAL,worthja01
3,Metta World Peace,61.1,102,103,25.4,14.8,8.1,21.3,12.2,14.5,1999-00,2016-17,20-37,991,840,1,31.7,4.7,11.4,3.5,7.9,1.2,3.4,2.6,3.6,1.2,3.3,4.5,2.7,1.7,0.5,1.8,2.6,13.2,.414,.447,.339,.715,.508,.465,F,CHIHOUINDLALNYKSAC,artesro01
4,Brian Winters,38.6,105,105,7.8,15.2,4.5,23.0,13.5,19.3,1974-75,1982-83,22-30,650,25,2,30.7,6.9,14.5,6.7,14.1,0.2,0.5,2.2,2.6,0.7,1.9,2.6,4.1,1.2,0.3,1.6,2.8,16.2,.475,.479,.363,.842,.516,.481,G-F,LALMIL,wintebr01
5,Zion Williamson,14.2,121,114,6.6,26.0,11.9,30.1,12.4,19.7,2019-20,2022-23,19-22,114,114,2,32.0,9.9,16.4,9.7,15.8,0.2,0.6,5.8,8.4,2.5,4.4,7.0,3.6,0.9,0.6,2.9,2.1,25.8,.605,.615,.343,.691,.643,.611,F-C,NOP,willizi01
6,Mo Williams,40.0,106,110,10.0,15.0,5.5,22.8,15.5,28.1,2003-04,2015-16,21-33,818,525,1,29.2,5.0,11.4,3.6,7.9,1.3,3.5,1.9,2.2,0.5,2.3,2.8,4.9,0.9,0.1,2.3,2.5,13.2,.434,.460,.378,.871,.532,.493,G,CHOCLELACMILMINPORUTA,willima01
7,Gus Williams,67.9,106,102,31.8,18.5,4.6,25.5,11.9,27.1,1975-76,1986-87,22-33,825,385,2,31.1,7.0,15.2,6.9,14.7,0.1,0.6,2.9,3.8,1.0,1.7,2.7,5.6,2.0,0.4,2.0,2.0,17.1,.461,.469,.238,.756,.505,.465,G,ATLGSWSEAWSB,willigu01
8,Deron Williams,77.3,112,110,28.3,18.2,5.4,23.5,16.1,39.5,2005-06,2016-17,21-32,845,771,3,34.2,5.8,13.0,4.4,9.1,1.4,3.9,3.4,4.1,0.4,2.7,3.1,8.1,1.0,0.2,2.8,2.5,16.3,.445,.482,.357,.822,.552,.498,G,BRKCLEDALNJNUTA,willide01
9,Buck Williams,120.1,112,104,21.7,15.3,17.2,16.4,16.3,5.5,1981-82,1997-98,21-37,1307,1140,3,32.5,4.9,8.9,4.9,8.9,0.0,0.0,3.0,4.6,3.5,6.5,10.0,1.3,0.8,0.8,2.1,3.3,12.8,.549,.550,.167,.664,.587,.549,F-C,NJNNYKPOR,willibu01
10,Dominique Wilkins,117.5,112,108,50.6,21.6,10.4,30.3,9.7,12.1,1982-83,1998-99,23-39,1074,995,9,35.5,9.3,20.1,8.6,18.0,0.7,2.1,5.6,6.9,2.7,3.9,6.7,2.5,1.3,0.6,2.5,1.9,24.8,.461,.478,.319,.811,.536,.478,F-G,ATLBOSLACORLSAS,wilkido01
11,Jamaal Wilkes,71.3,110,103,14.1,16.5,9.8,22.5,11.0,10.2,1974-75,1985-86,21-32,828,245,3,32.9,7.5,15.1,7.5,15.0,0.0,0.1,2.6,3.5,2.0,4.2,6.2,2.5,1.3,0.3,1.5,2.8,17.7,.499,.501,.135,.759,.533,.500,F-G,GSWLACLAL,wilkeja01
12,Andrew Wiggins,26.2,105,113,3.0,14.8,7.1,24.9,9.8,10.8,2014-15,2022-23,19-27,635,635,1,34.8,7.1,15.9,5.7,11.8,1.5,4.1,3.4,4.7,1.3,3.2,4.5,2.3,1.0,0.7,2.0,2.2,19.1,.449,.483,.354,.720,.532,.495,F-G,GSWMIN,wiggian01
13,Sidney Wicks,42.4,95,101,8.2,16.2,13.0,17.5,19.5,13.9,1971-72,1980-81,22-31,760,,4,33.9,6.6,14.5,6.6,14.5,0.0,0.0,3.6,5.2,2.0,4.3,8.7,3.2,0.8,0.6,0.9,3.3,16.8,.459,.459,.000,.685,.502,.459,F-C,BOSPORSDC,wickssi01
14,Jo Jo White,54.0,95,101,6.9,14.2,5.4,19.5,16.4,19.2,1969-70,1980-81,23-34,837,,7,35.8,7.4,16.6,7.4,16.6,0.0,0.0,2.5,3.0,0.6,1.8,4.0,4.9,0.8,0.1,0.6,2.5,17.2,.444,.444,.167,.834,.481,.444,G,BOSGSWKCK,whitejo01
15,Paul Westphal,67.7,109,101,24.8,19.4,4.0,26.0,13.9,26.2,1972-73,1983-84,22-33,823,73,5,25.5,6.2,12.3,6.1,12.0,0.1,0.2,3.2,3.8,0.5,1.4,1.9,4.4,1.2,0.3,1.4,2.1,15.6,.504,.508,.275,.820,.558,.506,G,BOSNYKPHOSEA,westppa01
16,Russell Westbrook,108.0,108,106,56.7,22.2,11.6,31.9,16.1,41.7,2008-09,2022-23,20-34,1089,1023,9,34.3,8.0,18.3,6.9,14.6,1.1,3.7,5.2,6.7,1.6,5.7,7.3,8.4,1.6,0.3,4.1,2.6,22.4,.438,.471,.305,.778,.526,.468,G,HOULACLALOKCWAS,westbru01
17,David West,85.9,109,104,27.6,18.6,13.1,23.1,11.4,13.6,2003-04,2017-18,23-37,1034,742,2,28.2,5.5,11.1,5.5,10.9,0.1,0.2,2.5,3.0,1.7,4.6,6.4,2.2,0.7,0.8,1.6,2.3,13.6,.495,.499,.265,.817,.544,.498,F-C,GSWINDNOHNOKSAS,westda01
18,Scott Wedman,53.7,107,104,10.5,14.2,9.0,20.5,9.8,9.9,1974-75,1986-87,22-34,906,105,2,28.6,5.7,11.8,5.6,11.5,0.1,0.3,1.7,2.1,1.7,3.1,4.8,2.0,0.9,0.3,1.0,2.8,13.2,.481,.485,.335,.794,.515,.485,F-G,BOSCLEKCKKCO,wedmasc01
19,Chris Webber,84.7,104,101,42.1,20.9,14.6,27.1,12.1,20.2,1993-94,2007-08,20-34,831,827,5,37.1,8.7,18.1,8.3,17.0,0.3,1.1,3.0,4.7,2.7,7.0,9.8,4.2,1.4,1.4,2.8,3.2,20.7,.479,.490,.299,.649,.513,.487,F-C,DETGSWPHISACWASWSB,webbech01
20,Kermit Washington,36.0,113,101,8.1,16.0,17.3,15.3,16.8,7.1,1973-74,1987-88,22-36,507,5,1,25.3,3.5,6.7,3.5,6.7,0.0,0.0,2.2,3.3,3.0,5.3,8.3,1.4,0.8,1.1,1.2,3.2,9.2,.526,.526,.000,.656,.565,.526,F-C,BOSGSWLALPORSDC,washike01
21,Bill Walton,39.3,103,96,21.3,20.0,19.8,20.6,20.6,17.1,1974-75,1986-87,22-34,468,117,2,28.3,5.5,10.5,5.5,10.5,0.0,0.0,2.4,3.6,2.4,8.2,10.5,3.4,0.8,2.2,1.8,2.8,13.3,.521,.521,.000,.660,.551,.521,C-F,BOSLACPORSDC,waltobi01
22,Rasheed Wallace,105.1,107,101,38.3,17.0,12.1,21.3,10.2,9.6,1995-96,2012-13,21-38,1109,956,4,32.7,5.7,12.2,4.7,9.3,1.0,2.9,2.1,2.9,1.4,5.3,6.7,1.8,1.0,1.3,1.5,2.9,14.4,.467,.508,.336,.721,.536,.507,F-C,ATLBOSDETNYKPORWSB,wallara01
23,Gerald Wallace,59.7,107,103,23.5,16.3,11.5,19.5,14.1,11.7,2001-02,2014-15,19-32,832,611,1,29.7,4.2,9.0,3.7,7.4,0.5,1.6,3.0,4.2,1.4,4.4,5.8,2.1,1.4,0.8,1.8,2.2,11.9,.469,.502,.312,.709,.549,.496,F,BOSBRKCHANJNPORSAC,wallage01
24,Ben Wallace,93.5,106,96,36.1,15.5,18.9,11.0,13.8,6.8,1996-97,2011-12,22-37,1088,912,4,29.5,2.4,5.0,2.4,4.9,0.0,0.0,1.0,2.5,3.2,6.5,9.6,1.3,1.3,2.0,1.0,1.9,5.7,.474,.477,.137,.414,.474,.475,F-C,CHICLEDETORLWASWSB,wallabe01
25,John Wall,44.5,104,107,24.1,19.0,6.7,27.6,17.1,41.8,2010-11,2022-23,20-32,647,604,5,34.9,6.8,15.7,5.8,12.6,1.0,3.1,4.2,5.4,0.6,3.6,4.2,8.9,1.6,0.7,3.7,2.2,18.7,.430,.457,.322,.776,.517,.462,G,HOULACWAS,walljo01
26,Kemba Walker,59.9,109,110,29.8,19.1,6.3,26.9,10.5,27.8,2011-12,2022-23,21-32,750,697,4,33.1,6.7,15.9,4.4,9.7,2.2,6.2,3.8,4.5,0.6,3.2,3.8,5.3,1.2,0.4,2.1,1.5,19.3,.418,.455,.360,.840,.539,.488,G,BOSCHACHODALNYK,walkeke02
27,Antoine Walker,38.1,97,105,18.0,16.0,12.5,26.5,13.4,18.4,1996-97,2007-08,20-31,893,707,3,35.3,6.8,16.5,5.3,11.7,1.6,4.8,2.3,3.7,2.1,5.6,7.7,3.5,1.2,0.5,2.8,2.8,17.5,.414,.450,.325,.633,.484,.461,F,ATLBOSDALMIAMIN,walkean02
28,Dwyane Wade,120.7,109,104,62.8,23.5,8.1,31.4,13.7,30.4,2003-04,2018-19,22-37,1054,909,13,33.9,8.0,16.7,7.5,14.9,0.5,1.8,5.4,7.1,1.2,3.5,4.7,5.4,1.5,0.8,3.2,2.2,22.0,.480,.502,.293,.765,.554,.495,G,CHICLEMIA,wadedw01
29,Nikola Vučević,66.5,109,106,27.3,20.3,18.6,24.7,10.0,15.6,2011-12,2022-23,21-32,817,756,2,31.1,7.3,14.7,6.5,12.3,0.8,2.4,1.6,2.1,2.5,8.0,10.5,2.8,0.9,0.9,1.7,2.4,17.0,.496,.524,.350,.763,.544,.524,C,CHIORLPHI,vucevni01
30,Fred VanVleet,32.2,114,110,13.6,16.2,6.1,21.8,11.0,26.0,2016-17,2022-23,22-28,412,263,1,29.7,4.9,12.2,2.5,5.8,2.4,6.4,2.3,2.7,0.4,2.9,3.3,5.2,1.3,0.4,1.7,2.1,14.6,.403,.435,.375,.868,.544,.501,G,TOR,vanvlfr01
31,Kiki Vandeweghe,75.6,119,113,17.7,18.4,6.1,23.6,8.9,9.9,1980-81,1992-93,22-34,810,548,2,30.3,7.6,14.4,7.3,13.7,0.3,0.7,4.3,4.9,1.1,2.3,3.4,2.1,0.6,0.3,1.6,1.9,19.7,.525,.533,.368,.872,.594,.534,F,DENLACNYKPOR,vandeki01
32,Norm Van Lier,47.8,101,98,6.2,14.0,6.9,12.1,26.9,27.0,1969-70,1978-79,22-31,746,,3,35.1,4.4,10.7,4.4,10.7,,,2.9,3.7,0.7,1.7,4.8,7.0,1.0,0.1,0.3,3.6,11.8,.414,.414,,.780,.476,.414,G,CHICINMIL,vanlino01
33,Nick Van Exel,55.9,108,110,17.7,15.8,4.9,22.0,12.9,32.6,1993-94,2005-06,22-34,880,670,1,32.9,5.3,13.0,3.5,8.2,1.7,4.9,2.1,2.7,0.4,2.5,2.9,6.6,0.8,0.1,2.1,1.6,14.4,.405,.433,.357,.794,.507,.471,G,DALDENGSWLALPORSAS,vanexni01
34,Wes Unseld,110.1,113,96,25.3,16.0,18.0,11.7,19.0,13.5,1968-69,1980-81,22-34,984,,5,36.4,4.4,8.7,4.4,8.7,0.0,0.0,1.9,3.0,2.1,5.1,14.0,3.9,0.6,0.4,0.6,2.8,10.8,.509,.509,.500,.633,.537,.509,C-F,BALCAPWSB,unselwe01
35,Kelly Tripucka,44.4,109,110,11.2,16.2,7.0,24.1,13.4,14.5,1981-82,1990-91,22-31,707,575,2,29.6,6.3,13.3,6.0,12.6,0.2,0.7,4.4,5.2,1.3,2.5,3.8,3.0,1.0,0.2,2.4,2.3,17.2,.473,.479,.361,.849,.552,.482,F-G,CHHDETUTA,tripuke01
36,Karl-Anthony Towns,68.2,119,109,29.3,24.5,18.3,26.7,12.7,15.8,2015-16,2022-23,20-27,506,506,3,34.1,8.5,16.2,6.9,12.0,1.6,4.2,4.4,5.3,2.9,8.2,11.2,3.2,0.8,1.3,2.7,3.4,23.1,.526,.571,.394,.835,.623,.577,C-F,MIN,townska01
37,Andrew Toney,26.9,106,108,4.4,16.1,4.4,25.9,17.4,23.9,1980-81,1987-88,23-30,468,303,2,26.9,6.1,12.2,5.8,11.4,0.3,0.9,3.4,4.3,0.5,1.7,2.2,4.2,0.8,0.2,3.0,2.9,15.9,.500,.512,.342,.797,.565,.512,G,PHI,toneyan01
38,Rudy Tomjanovich,70.4,109,105,13.3,16.9,12.4,21.4,9.3,8.9,1970-71,1980-81,22-32,768,,5,33.5,7.3,14.6,7.3,14.5,0.0,0.2,2.7,3.5,1.5,3.6,8.1,2.0,0.5,0.2,0.4,2.5,17.4,.501,.504,.262,.784,.539,.502,F,HOUSDR,tomjaru01
39,Otis Thorpe,106.4,112,107,19.1,16.0,14.6,19.2,15.6,10.6,1984-85,2000-01,22-38,1257,989,1,31.7,5.5,10.0,5.5,10.0,0.0,0.1,3.1,4.5,2.7,5.5,8.2,2.2,0.7,0.4,2.2,3.3,14.0,.546,.548,.047,.687,.584,.546,F-C,CHHDETHOUKCKMIAPORSACVANWAS,thorpot01
40,Klay Thompson,51.1,109,109,15.7,16.2,5.9,25.1,9.0,11.2,2011-12,2022-23,21-32,712,675,5,32.9,7.4,16.3,4.3,8.8,3.1,7.4,1.9,2.2,0.5,3.1,3.5,2.3,0.9,0.5,1.7,2.1,19.7,.455,.488,.416,.851,.573,.550,G-F,GSW,thompkl01
41,David Thompson,50.8,111,107,16.8,19.7,6.1,26.5,12.3,15.4,1976-77,1983-84,22-29,509,69,4,32.0,8.3,16.4,8.2,16.3,0.0,0.2,5.5,7.1,1.4,2.3,3.8,3.2,0.9,0.8,2.2,2.5,22.1,.504,.506,.277,.778,.566,.505,G-F,DENSEA,thompda01
42,Isiah Thomas,80.7,106,107,41.6,18.1,5.3,25.3,16.8,37.4,1981-82,1993-94,20-32,979,971,12,36.3,7.3,16.2,6.9,14.8,0.4,1.4,4.1,5.4,1.0,2.6,3.6,9.3,1.9,0.3,3.8,3.0,19.2,.452,.468,.290,.759,.516,.465,G,DET,thomais01
43,Isaiah Thomas,45.3,113,112,16.1,19.6,4.7,27.2,12.8,28.7,2011-12,2021-22,22-32,550,362,2,28.3,5.8,13.3,3.9,8.0,1.9,5.2,4.3,4.9,0.5,1.9,2.4,4.8,0.9,0.1,2.3,2.1,17.7,.434,.481,.362,.872,.573,.506,G,BOSCHOCLEDALDENLALNOPPHOSACWAS,thomais02
44,Reggie Theus,66.9,108,111,18.5,16.6,5.3,24.3,16.7,27.7,1978-79,1990-91,21-33,1026,743,2,33.7,6.9,14.6,6.6,13.7,0.2,0.9,4.5,5.5,1.2,2.1,3.3,6.3,1.2,0.2,3.4,2.9,18.5,.471,.486,.252,.826,.545,.479,G,ATLCHIKCKNJNORLSAC,theusre01
45,Jeff Teague,52.4,109,108,14.3,16.8,5.1,22.2,16.4,32.3,2009-10,2020-21,21-32,826,600,1,26.8,4.3,9.7,3.4,7.3,0.9,2.4,2.7,3.2,0.3,2.1,2.4,5.6,1.1,0.3,2.2,1.9,12.2,.444,.472,.360,.844,.549,.489,G,ATLBOSINDMILMIN,teaguje01
46,Jayson Tatum,44.5,113,108,19.4,19.6,11.2,27.7,10.5,16.0,2017-18,2022-23,19-24,435,435,4,34.0,7.9,17.2,5.4,10.7,2.4,6.5,4.3,5.1,0.9,6.1,7.0,3.3,1.1,0.7,2.3,2.1,22.4,.457,.508,.374,.847,.578,.528,F,BOS,tatumja01
47,Wally Szczerbiak,53.3,113,108,13.6,16.0,7.5,20.5,10.8,12.6,1999-00,2008-09,22-31,651,393,1,30.8,5.4,11.0,4.4,8.8,0.9,2.2,2.5,2.9,1.0,3.0,4.0,2.4,0.6,0.2,1.5,2.1,14.1,.485,.505,.406,.860,.573,.526,F,BOSCLEMINSEA,szczewa02
48,Amar'e Stoudemire,92.5,113,105,21.9,21.8,14.4,26.2,12.7,6.9,2002-03,2015-16,20-33,846,696,6,31.0,7.0,13.0,7.0,12.9,0.0,0.2,4.9,6.4,2.4,5.4,7.8,1.2,0.8,1.2,2.3,3.2,18.9,.537,.540,.236,.761,.597,.538,F-C,DALMIANYKPHO,stoudam01
49,Peja Stojaković,82.6,114,106,26.2,17.1,7.8,21.5,8.4,8.6,1998-99,2010-11,21-33,804,665,3,33.5,6.0,13.3,3.8,7.9,2.2,5.5,2.8,3.1,0.9,3.8,4.7,1.8,0.9,0.1,1.4,1.7,17.0,.450,.484,.401,.895,.577,.532,F,DALINDNOHNOKSACTOR,stojape01
50,John Stockton,207.7,121,104,106.5,21.8,5.0,18.9,20.8,50.2,1984-85,2002-03,22-40,1504,1300,10,31.8,4.7,9.1,4.1,7.6,0.6,1.5,3.2,3.9,0.6,2.1,2.7,10.5,2.2,0.2,2.8,2.6,13.1,.515,.541,.384,.826,.608,.546,G,UTA,stockjo01
51,John Starks,49.9,104,104,16.5,14.0,5.2,23.0,12.7,22.0,1988-89,2001-02,23-36,866,420,1,27.2,4.6,11.1,3.2,6.9,1.4,4.1,2.0,2.6,0.5,2.0,2.5,3.6,1.1,0.1,1.8,2.6,12.5,.412,.455,.340,.769,.513,.476,G,CHIGSWNYKUTA,starkjo01
52,Jerry Stackhouse,52.4,103,108,17.4,16.5,5.8,27.3,14.4,19.4,1995-96,2012-13,21-38,970,564,2,31.2,5.6,13.6,4.5,10.3,1.0,3.3,4.8,5.8,1.0,2.2,3.2,3.3,0.9,0.5,2.7,1.9,16.9,.409,.441,.309,.822,.524,.446,G-F,ATLBRKDALDETMIAMILPHIWAS,stackje01
53,Latrell Sprewell,56.3,103,108,21.0,15.1,6.1,23.8,13.1,17.6,1992-93,2004-05,22-34,913,868,4,38.6,6.7,15.7,5.4,12.1,1.2,3.6,3.8,4.7,0.8,3.2,4.1,4.0,1.4,0.4,2.7,1.8,18.3,.425,.451,.337,.804,.516,.464,G,GSWMINNYK,sprewla01
54,Rik Smits,56.6,107,106,10.4,17.9,13.3,25.7,11.8,9.3,1988-89,1999-00,22-33,867,792,1,26.6,6.1,12.1,6.1,12.0,0.0,0.0,2.6,3.4,1.8,4.3,6.1,1.4,0.4,1.3,1.8,3.5,14.8,.507,.508,.115,.773,.548,.507,C,IND,smitsri01
55,Steve Smith,83.7,114,108,24.6,16.1,6.2,21.7,12.4,17.1,1991-92,2004-05,22-35,942,717,1,30.6,4.9,11.1,3.7,7.7,1.2,3.4,3.3,3.8,1.2,2.1,3.2,3.1,0.8,0.3,1.8,2.4,14.3,.440,.476,.358,.845,.556,.494,G,ATLCHAMIANOHPORSAS,smithst01
56,Randy Smith,60.1,104,104,16.0,16.5,5.9,23.6,13.1,20.8,1971-72,1982-83,23-34,976,56,2,32.2,6.8,14.6,6.8,14.5,0.0,0.1,3.0,3.8,0.9,2.0,3.7,4.6,1.4,0.1,1.2,2.6,16.7,.470,.472,.155,.781,.513,.470,G-F,ATLBUFCLENYKSDC,smithra01
57,Phil Smith,41.1,103,104,9.9,15.8,5.4,22.4,14.4,19.0,1974-75,1982-83,22-30,659,58,2,29.1,6.1,12.8,6.1,12.7,0.0,0.1,2.9,3.7,0.9,2.1,3.0,3.9,1.1,0.3,1.5,2.5,15.1,.476,.478,.253,.779,.523,.477,G,GSWSDCSEA,smithph01
58,Ben Simmons,32.6,113,106,14.1,19.1,12.9,20.7,20.2,34.1,2017-18,2022-23,21-26,317,308,3,32.9,6.0,10.8,6.0,10.7,0.0,0.1,2.6,4.5,1.8,6.0,7.8,7.5,1.6,0.7,3.2,2.9,14.7,.560,.565,.139,.591,.578,.561,G-F,BRKPHI,simmobe01
59,Paul Silas,79.9,98,97,5.6,13.9,16.6,11.7,19.3,9.4,1964-65,1979-80,21-36,1254,,2,27.9,3.4,7.9,3.4,7.9,0.0,0.0,2.5,3.8,1.6,2.6,9.9,2.1,0.3,0.1,0.3,2.5,9.4,.432,.432,,.673,.489,.432,F-C,ATLBOSDENPHOSEASTL,silaspa01
60,Jack Sikma,112.5,109,101,37.0,17.3,16.2,20.6,13.9,13.7,1977-78,1990-91,22-35,1107,739,7,33.4,5.8,12.5,5.6,11.9,0.2,0.6,3.9,4.6,2.3,7.5,9.8,3.2,1.0,0.9,2.3,3.5,15.6,.464,.470,.328,.849,.540,.471,C-F,MILSEA,sikmaja01
61,Pascal Siakam,40.2,114,109,14.2,18.0,11.7,23.6,11.2,18.2,2016-17,2022-23,22-28,466,372,2,30.6,6.4,13.2,5.4,10.1,1.0,3.1,3.1,4.0,1.5,5.1,6.5,3.5,0.9,0.7,1.9,2.8,16.9,.487,.536,.328,.772,.567,.525,F,TOR,siakapa01
62,Lonnie Shelton,37.5,102,102,7.9,14.2,11.9,19.5,16.0,11.1,1976-77,1985-86,21-30,673,253,1,27.5,5.1,10.3,5.1,10.3,0.0,0.0,1.8,2.4,2.1,4.0,6.1,2.2,1.1,0.8,1.9,3.8,12.0,.492,.493,.097,.738,.524,.492,F-C,CLENYKSEA,sheltlo01
63,Charlie Scott,26.9,93,103,2.1,14.5,5.3,19.3,19.0,20.7,1971-72,1979-80,23-31,560,,3,34.4,7.3,16.5,7.3,16.5,0.0,0.0,3.2,4.2,0.8,2.2,3.6,4.8,1.1,0.3,1.2,3.7,17.9,.444,.444,.182,.772,.487,.444,G-F,BOSDENLALPHO,scottch01
64,Detlef Schrempf,109.5,117,107,32.4,17.2,12.0,20.3,14.4,17.2,1985-86,2000-01,23-38,1136,524,3,29.6,4.8,9.7,4.3,8.6,0.4,1.1,3.9,4.9,1.6,4.5,6.2,3.4,0.8,0.3,2.0,3.0,13.9,.491,.505,.384,.803,.586,.513,F-C,DALINDPORSEA,schrede01
65,Ralph Sampson,20.1,99,104,5.0,16.0,16.0,23.8,16.7,10.8,1983-84,1991-92,23-31,456,363,4,29.8,6.4,13.2,6.4,13.1,0.0,0.1,2.6,3.9,2.6,6.2,8.8,2.3,0.9,1.6,3.0,3.5,15.4,.486,.489,.172,.661,.518,.487,C-F,GSWHOUSACWSB,sampsra01
