,Player,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,WS,ORtg,DRtg,VORP,PER,TRB%,AST%,TOV%,USG%,HOF,MVP
224,Kyle Korver,1,25.3,3.3,7.5,1.3,2.9,2.0,4.6,1.1,1.2,0.3,2.7,3.0,1.7,0.7,0.3,1.0,2.0,9.7,0.442,0.464,0.429,0.877,0.602,0.574,G-F,73.4,113.0,107.0,20.7,12.8,6.7,10.4,11.5,16.2,0,0
226,Billy Knight,2,27.4,6.1,12.0,6.0,11.8,0.1,0.2,3.6,4.3,1.7,2.8,4.5,2.1,0.9,0.1,1.9,1.8,15.7,0.506,0.51,0.274,0.83,0.568,0.508,G-F,48.5,110.0,107.0,13.4,17.7,8.7,11.6,14.5,22.5,0,0
227,Andrei Kirilenko,1,30.0,3.9,8.3,3.5,6.8,0.5,1.5,3.5,4.6,1.8,3.7,5.5,2.7,1.4,1.8,1.9,2.0,11.8,0.474,0.51,0.31,0.754,0.571,0.502,F,75.4,112.0,103.0,41.7,18.7,11.0,14.7,15.5,18.6,0,0
229,Bernard King,4,33.7,9.0,17.3,8.9,17.1,0.0,0.2,4.5,6.2,1.9,3.8,5.8,3.3,1.0,0.3,3.2,3.3,22.5,0.518,0.521,0.172,0.73,0.561,0.519,F,75.4,108.0,107.0,27.0,19.2,9.4,16.0,13.8,27.8,1,0
230,Jason Kidd,10,36.0,4.5,11.2,3.0,7.1,1.4,4.1,2.2,2.8,1.3,5.0,6.3,8.7,1.9,0.3,2.9,1.8,12.6,0.4,0.429,0.349,0.785,0.507,0.464,G,138.6,107.0,102.0,73.5,17.9,10.0,38.5,18.8,19.2,1,0
232,Larry Kenon,2,30.8,7.1,14.5,7.1,14.5,0.0,0.0,2.8,3.5,2.7,5.1,7.8,2.6,1.3,0.3,2.2,2.1,17.0,0.489,0.489,0.1,0.798,0.529,0.489,F,36.5,104.0,103.0,9.5,17.6,13.5,11.6,14.5,23.5,0,0
233,Shawn Kemp,6,27.9,5.2,10.7,5.2,10.6,0.0,0.1,4.1,5.5,2.9,5.5,8.4,1.6,1.1,1.2,2.6,3.6,14.6,0.488,0.49,0.277,0.741,0.555,0.49,F-C,89.5,106.0,100.0,19.4,19.1,17.8,9.8,16.7,25.0,0,0
235,Chris Kaman,1,26.7,4.7,9.6,4.7,9.5,0.0,0.0,1.8,2.5,2.0,5.6,7.6,1.3,0.4,1.3,2.1,2.7,11.2,0.489,0.49,0.042,0.743,0.525,0.489,C,24.6,98.0,105.0,0.4,14.9,16.4,8.3,16.5,21.7,0,0
236,Michael Jordan,14,38.3,11.4,22.9,10.8,21.2,0.5,1.7,6.8,8.2,1.6,4.7,6.2,5.3,2.3,0.8,2.7,2.6,30.1,0.497,0.51,0.327,0.835,0.569,0.509,G-F,214.0,118.0,103.0,116.1,27.9,9.4,24.9,9.3,33.3,1,1
237,DeAndre Jordan,1,26.3,3.6,5.4,3.6,5.4,0.0,0.0,1.7,3.6,3.0,7.2,10.2,0.9,0.5,1.5,1.4,2.5,9.0,0.675,0.676,0.154,0.475,0.645,0.675,C,95.5,121.0,103.0,21.9,18.4,21.6,5.3,16.3,14.0,0,0
239,Eddie Jones,3,34.4,5.2,11.8,3.5,7.5,1.6,4.3,2.9,3.6,0.8,3.2,4.0,2.9,1.7,0.6,1.6,2.6,14.8,0.437,0.474,0.373,0.809,0.554,0.505,G-F,100.6,111.0,103.0,42.3,16.7,6.8,14.7,10.5,20.1,0,0
240,Bobby Jones,4,26.1,4.4,8.0,4.4,8.0,0.0,0.0,2.7,3.5,1.7,3.8,5.5,2.4,1.4,1.3,1.6,2.7,11.5,0.55,0.552,0.0,0.78,0.604,0.55,F,73.7,115.0,99.0,30.6,17.9,11.3,12.9,16.1,17.0,1,0
241,Nikola Jokić,5,30.8,7.8,14.1,6.8,11.2,1.0,2.9,3.7,4.5,2.6,7.9,10.5,6.6,1.2,0.7,2.9,2.8,20.3,0.553,0.605,0.349,0.829,0.632,0.589,C-F,94.7,125.0,107.0,52.8,27.7,19.1,35.5,15.1,26.6,0,1
243,Steve Johnson,1,21.8,4.5,7.9,4.5,7.9,0.0,0.0,2.7,4.2,1.9,3.6,5.5,1.2,0.5,0.8,2.4,3.8,11.7,0.572,0.573,0.0,0.634,0.6,0.572,C-F,26.9,106.0,107.0,1.1,15.3,14.2,8.1,19.4,22.3,0,0
244,Marques Johnson,5,34.3,8.3,16.0,8.3,15.9,0.0,0.1,3.5,4.7,2.6,4.3,7.0,3.6,1.3,0.8,2.4,2.6,20.1,0.518,0.521,0.152,0.739,0.556,0.519,F-G,79.8,113.0,105.0,31.7,20.1,11.2,15.9,11.5,23.9,0,0
245,Magic Johnson,11,36.7,6.9,13.2,6.5,12.0,0.4,1.2,5.5,6.5,1.8,5.5,7.2,11.2,1.9,0.4,3.9,2.3,19.5,0.52,0.541,0.303,0.848,0.61,0.533,G-F,155.8,121.0,104.0,80.0,24.1,11.1,40.9,19.4,22.3,1,1
246,Larry Johnson,2,36.3,6.2,12.9,5.7,11.3,0.5,1.6,3.2,4.2,2.5,5.0,7.5,3.3,0.7,0.4,2.0,2.7,16.2,0.484,0.505,0.332,0.766,0.551,0.505,F,69.7,112.0,107.0,22.0,16.3,11.9,14.6,12.1,20.6,0,0
247,Kevin Johnson,3,34.1,6.1,12.5,5.9,11.7,0.2,0.7,5.4,6.4,0.7,2.6,3.3,9.1,1.5,0.2,3.1,2.1,17.9,0.493,0.504,0.305,0.841,0.585,0.501,G,92.8,118.0,109.0,37.3,20.7,5.4,38.8,16.7,22.6,0,0
248,John Johnson,2,29.6,5.3,11.8,5.3,11.8,0.0,0.0,2.4,3.0,1.2,2.4,5.5,3.8,0.6,0.3,1.1,2.9,12.9,0.446,0.446,0.0,0.779,0.491,0.446,F,37.1,96.0,103.0,5.4,14.1,9.5,18.3,19.8,19.7,0,0
249,Joe Johnson,7,34.6,6.1,13.9,4.6,9.7,1.5,4.2,2.2,2.7,0.8,3.1,4.0,3.9,0.8,0.2,1.9,1.8,16.0,0.441,0.472,0.371,0.802,0.53,0.497,G-F,82.9,107.0,110.0,26.5,15.4,6.6,19.6,11.3,22.5,0,0
251,Eddie Johnson,2,29.6,5.9,12.5,5.8,12.0,0.2,0.5,3.0,3.8,0.7,1.6,2.3,5.1,1.1,0.1,2.5,2.5,15.1,0.476,0.482,0.326,0.791,0.531,0.482,G,41.0,106.0,108.0,12.1,16.0,4.2,26.7,15.2,23.3,0,0
252,Dennis Johnson,5,32.7,5.3,11.9,5.2,11.5,0.1,0.4,3.4,4.3,1.3,2.5,3.9,5.0,1.3,0.6,2.2,2.8,14.1,0.445,0.455,0.172,0.797,0.511,0.448,G,82.6,107.0,105.0,24.3,14.6,6.5,20.4,14.4,20.1,1,0
253,Antawn Jamison,2,34.8,7.1,15.7,6.0,12.6,1.1,3.1,3.3,4.5,2.4,5.2,7.5,1.6,1.0,0.4,1.6,2.4,18.5,0.451,0.477,0.346,0.724,0.523,0.485,F,87.8,109.0,109.0,24.5,18.1,12.2,8.5,8.2,24.4,0,0
254,LeBron James,19,38.1,10.0,19.7,8.4,15.1,1.6,4.6,5.7,7.8,1.2,6.3,7.5,7.3,1.5,0.8,3.5,1.8,27.2,0.505,0.554,0.344,0.735,0.588,0.545,F-G,254.7,116.0,104.0,146.2,27.2,11.3,36.3,13.1,31.6,0,1
255,Mark Jackson,1,30.2,3.7,8.3,3.1,6.6,0.6,1.7,1.7,2.2,1.0,2.8,3.8,8.0,1.2,0.1,2.4,1.7,9.6,0.447,0.477,0.332,0.77,0.522,0.481,G,91.8,110.0,107.0,37.5,16.0,7.3,39.4,20.9,16.9,0,0
257,Jaren Jackson Jr.,1,27.3,5.7,12.4,4.1,7.7,1.6,4.7,3.1,4.0,1.4,4.1,5.5,1.1,0.9,2.1,1.7,3.7,16.3,0.465,0.535,0.349,0.788,0.576,0.531,F,18.7,111.0,107.0,4.7,17.7,10.7,6.2,10.6,24.3,0,0
258,Allen Iverson,11,41.1,9.3,21.8,8.1,18.1,1.2,3.7,7.0,8.9,0.8,2.9,3.7,6.2,2.2,0.2,3.6,1.9,26.7,0.425,0.448,0.313,0.78,0.518,0.452,G,99.0,105.0,106.0,49.6,20.9,5.1,28.8,12.2,31.8,1,1
259,Dan Issel,1,31.1,7.6,14.9,7.5,14.8,0.0,0.1,5.3,6.6,2.3,5.6,7.9,2.5,1.0,0.6,1.8,2.8,20.4,0.506,0.508,0.253,0.797,0.572,0.507,C-F,82.3,116.0,106.0,24.3,21.0,13.2,11.6,10.2,24.0,1,0
260,Kyrie Irving,8,34.3,8.6,18.2,6.3,12.3,2.3,5.9,3.9,4.4,0.8,3.1,3.9,5.7,1.3,0.4,2.6,2.3,23.4,0.472,0.51,0.391,0.884,0.58,0.535,G,78.9,115.0,110.0,37.4,22.4,6.4,29.9,11.3,29.4,0,0
261,Brandon Ingram,1,32.9,6.9,14.9,5.5,11.2,1.4,3.7,3.9,5.0,0.7,4.4,5.1,4.0,0.7,0.6,2.5,2.4,19.0,0.463,0.496,0.365,0.781,0.557,0.509,F,21.3,108.0,113.0,6.2,15.6,8.5,19.1,12.7,25.1,0,0
263,Zydrunas Ilgauskas,2,27.2,5.0,10.5,5.0,10.4,0.0,0.1,3.0,3.8,2.9,4.4,7.3,1.1,0.5,1.6,1.8,3.3,13.0,0.476,0.478,0.31,0.78,0.534,0.478,C,66.3,107.0,103.0,10.2,18.5,15.7,7.5,12.8,23.3,0,0
264,Andre Iguodala,1,32.1,4.1,8.8,3.2,6.2,0.9,2.7,2.3,3.2,0.9,4.0,4.9,4.2,1.4,0.5,1.8,1.8,11.3,0.463,0.52,0.33,0.709,0.553,0.512,F-G,100.4,111.0,106.0,41.3,15.4,8.7,19.5,15.1,16.9,0,0
267,Lou Hudson,6,33.5,8.3,17.0,8.3,17.0,0.0,0.0,3.5,4.4,0.5,0.8,4.4,2.7,0.6,0.1,0.3,2.7,20.2,0.489,0.489,0.0,0.797,0.532,0.489,F-G,81.0,105.0,103.0,6.8,17.4,5.8,12.4,12.4,20.0,1,0
269,Juwan Howard,1,30.3,5.4,11.5,5.4,11.5,0.0,0.0,2.5,3.3,1.9,4.2,6.1,2.2,0.7,0.3,2.0,2.9,13.4,0.469,0.47,0.12,0.764,0.514,0.469,F,59.4,102.0,107.0,3.8,14.6,11.8,12.7,13.6,22.4,0,0
270,Josh Howard,1,30.3,5.4,12.2,4.8,10.1,0.7,2.0,2.8,3.6,1.7,4.0,5.7,1.6,1.0,0.5,1.4,2.6,14.3,0.448,0.471,0.332,0.77,0.522,0.476,F-G,38.0,108.0,105.0,10.0,16.7,10.8,9.0,9.4,23.0,0,0
271,Dwight Howard,8,31.8,5.7,9.7,5.7,9.6,0.0,0.1,4.3,7.6,3.3,8.4,11.8,1.3,0.9,1.8,2.7,3.1,15.7,0.587,0.59,0.214,0.567,0.602,0.588,C,141.7,111.0,100.0,39.0,21.3,21.1,7.3,17.0,22.3,0,0
272,Allan Houston,2,33.7,6.4,14.3,4.8,10.5,1.6,3.9,3.1,3.6,0.4,2.5,2.9,2.4,0.7,0.2,2.1,2.5,17.3,0.444,0.46,0.402,0.863,0.546,0.498,G,55.3,105.0,107.0,15.0,14.9,5.1,13.1,11.7,24.9,0,0
273,Jeff Hornacek,1,31.5,5.5,11.1,4.7,9.2,0.8,1.9,2.8,3.1,0.9,2.5,3.4,4.9,1.4,0.2,1.8,2.2,14.5,0.496,0.515,0.403,0.877,0.582,0.53,G,108.9,117.0,108.0,42.1,17.7,6.2,23.4,12.8,19.7,0,0
274,Al Horford,5,32.1,5.6,10.9,4.8,8.9,0.7,2.0,1.5,2.0,2.0,6.1,8.1,3.3,0.8,1.2,1.5,2.2,13.4,0.513,0.544,0.373,0.759,0.571,0.547,C-F,106.2,116.0,105.0,40.2,18.3,14.2,16.4,11.0,18.6,0,0
275,Lionel Hollins,1,27.4,4.8,10.7,4.7,10.6,0.0,0.1,2.1,2.8,0.6,1.8,2.4,4.5,1.6,0.3,2.0,2.7,11.6,0.444,0.448,0.149,0.741,0.486,0.445,G,22.9,97.0,103.0,3.1,13.0,4.7,22.1,18.2,20.5,0,0
276,Jrue Holiday,2,33.1,6.5,14.0,5.0,10.0,1.5,4.0,2.0,2.6,0.9,3.2,4.1,6.5,1.5,0.5,2.7,2.2,16.4,0.462,0.5,0.365,0.783,0.542,0.514,G,62.9,108.0,109.0,27.2,17.4,6.7,30.8,15.3,23.6,0,0
277,Tyrone Hill,1,28.0,3.5,7.0,3.5,7.0,0.0,0.0,2.3,3.6,3.0,5.6,8.6,0.8,0.8,0.5,1.6,3.6,9.4,0.502,0.503,0.0,0.643,0.544,0.502,F,56.2,108.0,103.0,0.8,14.0,18.0,4.6,15.2,16.5,0,0
278,Grant Hill,7,33.9,6.2,12.8,6.0,12.1,0.2,0.7,4.1,5.4,1.1,4.9,6.0,4.1,1.2,0.6,2.4,2.3,16.7,0.483,0.493,0.314,0.769,0.551,0.492,F-G,99.9,110.0,106.0,43.6,19.0,10.5,21.9,13.7,23.7,1,0
279,Roy Hibbert,2,24.8,4.0,8.5,4.0,8.5,0.0,0.0,2.1,2.7,2.3,4.0,6.3,1.3,0.4,1.7,1.6,3.1,10.0,0.465,0.466,0.25,0.755,0.514,0.465,C,35.9,103.0,103.0,3.5,15.5,14.1,9.2,13.9,20.4,0,0
282,Spencer Haywood,4,33.7,7.6,16.4,7.6,16.4,0.0,0.0,4.0,5.0,2.0,4.2,9.3,1.8,0.5,0.8,0.9,2.9,19.2,0.465,0.465,0.125,0.8,0.517,0.465,F-C,61.4,100.0,100.0,7.7,17.7,13.8,7.9,14.5,22.9,1,0
283,Gordon Hayward,1,31.1,5.4,11.9,4.0,8.2,1.4,3.7,3.4,4.1,0.8,3.7,4.5,3.5,1.0,0.4,2.0,1.7,15.5,0.455,0.494,0.369,0.825,0.568,0.512,F-G,62.0,112.0,110.0,23.0,17.1,8.1,18.6,12.5,22.5,0,0
284,Elvin Hayes,12,38.4,8.4,18.6,8.4,18.6,0.0,0.0,4.1,6.1,2.1,5.4,12.5,1.8,0.7,1.4,1.0,3.2,21.0,0.452,0.453,0.147,0.67,0.491,0.452,F-C,120.8,101.0,97.0,21.4,17.7,15.6,7.0,12.5,22.6,1,0
285,Hersey Hawkins,1,32.6,5.0,10.8,3.7,7.6,1.2,3.2,3.5,4.1,0.8,2.8,3.6,2.9,1.7,0.3,1.9,2.1,14.7,0.461,0.488,0.394,0.87,0.585,0.518,G,90.6,115.0,107.0,32.6,16.3,6.4,13.9,12.9,19.4,0,0
287,John Havlicek,13,36.6,8.3,18.8,8.3,18.8,0.0,0.0,4.2,5.2,0.5,1.1,6.3,4.8,0.4,0.1,0.2,2.6,20.8,0.439,0.439,0.0,0.815,0.492,0.439,F-G,131.7,101.0,99.0,11.5,17.5,7.4,19.5,13.3,21.3,1,0
289,Devin Harris,1,24.3,3.5,8.2,2.7,5.6,0.8,2.6,2.8,3.6,0.3,1.9,2.2,3.9,1.0,0.2,1.7,2.2,10.8,0.432,0.481,0.325,0.796,0.551,0.483,G,54.9,109.0,109.0,15.5,16.0,5.2,26.5,14.9,21.6,0,0
290,James Harden,10,34.8,7.3,16.5,4.5,8.9,2.8,7.6,7.4,8.6,0.8,4.9,5.7,7.0,1.5,0.5,3.7,2.6,24.7,0.442,0.51,0.362,0.86,0.609,0.525,G,157.8,118.0,107.0,75.9,24.4,9.1,34.0,15.6,30.0,0,1
291,Tim Hardaway,5,35.3,6.5,15.1,4.7,10.1,1.8,5.0,2.9,3.8,0.6,2.7,3.3,8.2,1.6,0.1,2.9,2.3,17.7,0.431,0.469,0.355,0.782,0.53,0.49,G,85.0,110.0,108.0,39.6,18.6,5.3,37.9,14.6,24.3,1,0
292,Anfernee Hardaway,4,33.7,5.7,12.4,5.0,10.1,0.7,2.3,3.1,4.0,1.4,3.1,4.5,5.0,1.6,0.4,2.5,2.2,15.2,0.458,0.489,0.316,0.774,0.535,0.486,G-F,61.9,108.0,105.0,26.9,17.4,7.6,24.3,15.2,22.1,0,0
293,Richard Hamilton,3,32.1,6.5,14.4,5.9,12.8,0.6,1.7,3.5,4.1,0.9,2.2,3.1,3.4,0.8,0.1,2.1,2.5,17.1,0.449,0.463,0.346,0.852,0.525,0.469,G-F,62.8,105.0,108.0,13.2,16.5,5.7,19.9,11.7,26.8,0,0
294,Tyrese Haliburton,1,33.1,5.9,12.4,3.6,6.7,2.3,5.7,2.0,2.3,0.7,2.9,3.6,8.0,1.6,0.5,2.3,1.4,16.2,0.479,0.539,0.408,0.857,0.603,0.572,G,18.2,122.0,117.0,9.0,19.3,6.0,35.5,14.4,20.2,0,0
296,Tom Gugliotta,1,30.9,5.1,11.3,4.8,10.3,0.3,1.0,2.5,3.4,2.1,5.2,7.3,2.8,1.4,0.6,2.3,2.5,13.0,0.451,0.467,0.284,0.757,0.509,0.463,F,40.2,101.0,105.0,15.3,15.9,13.7,15.1,15.2,21.5,0,0
299,Blake Griffin,6,32.0,7.1,14.5,6.4,12.3,0.7,2.1,4.1,5.9,1.9,6.1,8.0,4.0,0.8,0.5,2.3,2.7,19.1,0.493,0.522,0.328,0.696,0.559,0.518,F-C,80.8,112.0,107.0,32.7,21.0,14.2,21.6,11.8,26.9,0,0
301,Rickey Green,1,24.6,3.8,8.1,3.8,7.9,0.0,0.2,1.7,2.2,0.5,1.4,1.9,5.5,1.4,0.1,1.7,1.5,9.4,0.469,0.475,0.207,0.807,0.518,0.471,G,47.2,108.0,108.0,15.0,15.3,4.2,30.8,15.6,17.6,0,0
303,Draymond Green,4,28.8,3.2,7.2,2.4,4.6,0.8,2.6,1.5,2.1,1.1,5.9,7.0,5.6,1.4,1.0,2.3,2.8,8.7,0.448,0.523,0.315,0.711,0.539,0.505,F,57.1,109.0,103.0,24.7,14.6,13.2,25.6,21.9,15.5,0,0
304,A.C. Green,1,28.6,3.6,7.2,3.5,6.8,0.1,0.4,2.4,3.3,2.6,4.8,7.4,1.1,0.8,0.4,1.1,1.9,9.6,0.494,0.507,0.254,0.734,0.557,0.501,F-C,99.5,116.0,106.0,16.6,14.4,14.7,5.4,11.5,14.8,0,0
305,Horace Grant,1,33.2,4.7,9.2,4.7,9.1,0.0,0.1,1.8,2.6,3.0,5.1,8.1,2.2,1.0,1.0,1.1,2.4,11.2,0.509,0.511,0.063,0.692,0.54,0.509,F-C,118.2,117.0,104.0,33.0,16.0,14.1,9.9,9.8,15.2,0,0
306,Danny Granger,1,31.5,5.7,13.1,4.0,8.6,1.7,4.5,3.7,4.4,1.2,3.8,4.9,1.9,1.0,0.8,1.9,2.8,16.8,0.434,0.463,0.38,0.848,0.56,0.5,F,48.5,109.0,106.0,17.7,16.9,8.7,10.3,11.1,23.8,0,0
307,Gail Goodrich,5,32.5,7.2,15.8,7.2,15.8,0.0,0.0,4.2,5.2,0.4,0.6,3.2,4.7,0.5,0.1,0.4,2.7,18.6,0.456,0.456,0.0,0.807,0.514,0.456,G,76.3,104.0,104.0,6.0,16.7,4.0,20.6,15.4,20.5,1,0
309,Rudy Gobert,3,30.0,4.6,7.1,4.6,7.1,0.0,0.0,3.3,5.1,3.3,8.3,11.7,1.3,0.7,2.1,1.7,2.6,12.5,0.654,0.656,0.0,0.639,0.671,0.654,C,93.8,127.0,102.0,29.1,21.8,21.7,6.7,15.1,16.2,0,0
310,Manu Ginóbili,2,25.4,4.3,9.7,2.9,5.9,1.4,3.8,3.2,3.9,0.6,2.8,3.5,3.8,1.3,0.3,2.0,2.1,13.3,0.447,0.498,0.369,0.827,0.582,0.52,G,106.4,112.0,100.0,47.6,20.2,8.0,24.5,14.9,24.5,1,0
311,Artis Gilmore,6,32.7,6.3,10.5,6.3,10.5,0.0,0.0,4.5,6.3,2.9,7.2,10.1,2.0,0.5,1.9,2.6,3.3,17.1,0.599,0.6,0.077,0.713,0.643,0.599,C,107.4,117.0,104.0,34.7,20.2,17.0,8.9,17.9,19.7,1,0
312,Shai Gilgeous-Alexander,1,32.6,7.3,15.1,6.2,11.8,1.1,3.3,5.1,6.1,0.7,3.8,4.5,4.5,1.2,0.7,2.3,2.2,20.9,0.483,0.521,0.348,0.842,0.587,0.521,G,28.2,115.0,112.0,12.8,20.0,7.4,23.1,11.6,26.5,0,0
313,George Gervin,9,33.5,10.2,19.9,10.1,19.6,0.1,0.3,5.7,6.8,1.5,3.1,4.6,2.8,1.2,0.8,2.7,2.9,26.2,0.511,0.514,0.297,0.844,0.572,0.513,G-F,88.1,112.0,108.0,29.8,21.7,7.3,13.0,11.4,30.7,1,0
314,Paul George,8,33.6,7.0,16.1,4.5,9.4,2.5,6.6,4.0,4.8,0.9,5.5,6.4,3.7,1.7,0.4,2.7,2.7,20.6,0.437,0.477,0.381,0.85,0.568,0.516,F,81.2,109.0,104.0,40.3,19.4,10.5,18.5,13.1,27.2,0,0
316,Chris Gatling,1,19.7,4.0,7.8,3.9,7.5,0.1,0.3,2.2,3.4,1.8,3.6,5.3,0.7,0.7,0.5,1.5,2.7,10.3,0.513,0.523,0.249,0.66,0.555,0.517,F-C,32.1,105.0,104.0,3.2,17.6,15.3,5.8,14.1,24.1,0,0
317,Pau Gasol,6,33.4,6.5,12.8,6.4,12.4,0.1,0.4,3.9,5.1,2.5,6.7,9.2,3.2,0.5,1.6,2.2,2.1,17.0,0.507,0.512,0.368,0.753,0.565,0.513,C-F,144.1,113.0,104.0,57.5,21.4,15.5,16.7,12.5,23.3,0,0
318,Marc Gasol,3,32.2,5.2,10.8,4.7,9.5,0.5,1.3,3.2,4.1,1.6,5.8,7.4,3.4,0.9,1.4,2.0,2.9,14.0,0.481,0.498,0.36,0.776,0.557,0.503,C,85.3,111.0,104.0,36.5,18.0,13.3,17.1,13.5,20.5,0,0
319,Kevin Garnett,15,34.5,7.2,14.5,7.1,14.0,0.1,0.4,3.3,4.2,2.2,7.8,10.0,3.7,1.3,1.4,2.2,2.4,17.8,0.497,0.504,0.275,0.789,0.546,0.501,F-C,191.4,110.0,99.0,96.9,22.7,17.0,19.3,11.8,24.7,1,1
321,Darius Garland,1,33.9,6.8,15.2,4.6,9.4,2.2,5.7,2.7,3.1,0.5,2.1,2.6,6.7,1.1,0.1,3.1,1.9,18.5,0.449,0.487,0.387,0.87,0.561,0.522,G,13.8,110.0,115.0,3.9,15.7,4.3,31.7,15.6,25.4,0,0
325,World B. Free,1,30.4,7.3,16.1,7.1,15.4,0.2,0.7,5.3,7.1,1.1,1.6,2.7,3.7,1.0,0.3,2.1,2.6,20.3,0.456,0.461,0.337,0.753,0.527,0.463,G,67.7,110.0,109.0,22.0,18.8,4.8,19.0,10.9,29.0,0,0
326,Walt Frazier,7,37.5,7.4,15.2,7.4,15.2,0.0,0.0,4.0,5.1,0.5,1.8,5.9,6.1,0.8,0.1,0.2,2.6,18.9,0.49,0.49,0.0,0.786,0.542,0.49,G,113.5,104.0,98.0,15.5,19.1,7.6,23.0,12.9,21.7,1,0
327,Steve Francis,3,37.6,6.2,14.4,5.2,11.4,1.0,2.9,4.8,6.1,1.7,3.9,5.6,6.0,1.5,0.4,3.5,3.1,18.1,0.429,0.451,0.341,0.797,0.533,0.463,G,54.1,106.0,105.0,22.7,18.3,8.6,28.4,17.2,25.0,0,0
328,De'Aaron Fox,1,32.3,7.5,15.8,6.2,12.0,1.2,3.8,4.0,5.5,0.5,3.1,3.6,6.2,1.3,0.4,2.8,2.6,20.2,0.472,0.52,0.323,0.734,0.554,0.511,G,22.6,110.0,115.0,8.0,18.3,6.2,30.2,13.1,27.8,0,0
330,Sleepy Floyd,1,27.6,4.6,10.5,4.1,8.8,0.5,1.7,3.0,3.6,0.7,2.0,2.6,5.4,1.2,0.2,2.4,2.1,12.8,0.444,0.467,0.324,0.815,0.531,0.47,G,50.6,108.0,110.0,16.6,15.5,5.1,27.7,16.3,21.1,0,0
331,Michael Finley,2,34.4,6.1,13.7,4.8,10.2,1.3,3.5,2.2,2.7,1.0,3.3,4.4,2.9,0.9,0.3,1.5,1.6,15.7,0.444,0.467,0.375,0.811,0.527,0.492,G-F,85.2,108.0,108.0,28.8,16.0,7.2,14.5,9.0,21.7,0,0
333,Patrick Ewing,11,34.3,8.2,16.3,8.2,16.2,0.0,0.1,4.6,6.2,2.3,7.5,9.8,1.9,1.0,2.4,3.0,3.4,21.0,0.504,0.507,0.152,0.74,0.553,0.505,C-F,126.4,106.0,99.0,50.1,21.0,16.4,9.8,13.6,28.0,1,0
334,Julius Erving,11,34.3,8.7,17.1,8.6,16.9,0.1,0.2,4.6,5.9,2.5,4.2,6.7,3.9,1.8,1.5,2.8,2.7,22.0,0.507,0.51,0.261,0.777,0.558,0.509,F-G,106.2,111.0,101.0,51.8,22.0,10.5,17.7,13.5,26.8,1,1
